,TESTO,DOPPIE,INV. OMIS. INS. LETT/SILL,FUS./SEP ILL.,SCAMBIO OMOF.,H,ACCENTI
0," Il mio dolore più grande è stata la perdita di mio nonno Iliano da me chiamato nonno Lillo: era il nonno con cui avevo un legame molto particolare. Mio nonno quando stava con me diventava bambino, lui era il mio compagno di giochi. Con lui passavo ore a girare il giardino in cerca di animali o piante.  Era gennaio e faceva un freddo cane; mia madre ricevette una telefonata e mi disse: «Stasera vai da nonna» Io non sapevo cosa pensare ma non dissi nulla. Quel giorno non mi fu detto nulla, ma me lo disse mio padre in una piovosa giornata d’aprile. Stavo tornando a casa quando mio padre mi disse: «Benedetta, tuo nonno Lillo è morto» Io iniziai un pianto infinito e dissi che non poteva essere vero stavo sicuramente facendo un brutto sogno e che domani mattina mi sarei svegliata e tutto sarebbe finito; poi mi accorsi che era verità: quando chiamavo mia nonna e chiedevo di mio nonno mi diceva che non c’era per vari motivi. Quell’estate quando andai da mia nonna sentii un vuoto, anche a Roma mi succedeva ma lì diventava un vortice che piano piano diventava più grande; anche quando ridevo non mi calmavo ma solo quando ricordavo quel vuoto si colmava. Da quando è morto mio nonno penso che la morte non se la merita nessuno e che non bisogna piangere quando uno ci pensa; deve essere felice di averla conosciuta.",0,0,0,0,0,0
1,"  Il litigio può provocarsi in molti modi del tipo: prendere una cosa del sogetto senza permesso, gli dici cose che non vorrebbe sentire ecc. A tutti gli può succedere di litigare, a me succede molto spesso con mio fratello del tipo: non devi giocare mentre faccio i compiti non devi accendere la luce mentre dormo però pure i fratelli grandi ci rompono le scatole: Abbassa il volume della musica, non disturbarmi quando rubo inglese ecc. con questi esempi voglio far capire che il litigio può avvenire con le cose pi stupide ma ci stanno anche cosi importanti; smetti di giocare e vai a fare i compiti, non salire sul carro armato (il carro armato è un trattore  che io e mio fratello giuseppe la biamo chiamato cosi), non usare il coltello ecc. litihgare è una cosa che sucede a tutti non possiamo fermarlo e se ci provassimo non ci riusciremmo. Tra genitori succede spesso di litigare del tipo: non far usare quella cosa, non farle fare questo e questaltro e alcune volte anche il cane: non fare salire il cane sul letto, non dargli il pane. Tra padre è figlio: Non farti mordere la giacca, non devi mai prestare le tue cose ecc. ecc. Però i padri sono più comprensivi ma le madri...! perché ai fatto un compito sbagliato, perché ai preso un brutto voto, perché non sai delle cose pure se le hai studiate, perché non vai più a konfù (ha konfù non vado più perché sto studiando), perché metti la musica troppo alta, perché ti fai mordere la giacca (allora vedi che su qualcosa i genitori sono daccordo). Non continuo senno finische il mondo o io sono a metà. Il litigio non è una cosa bella pero capita. Secondo me il litigio e un modo canc svogarsi infatti un litigio può partire anche quando è nervoso e in vece di litighare per qualcosa litighano per che gli è andato qualcosa storto.",4,37,1,0,1,0
2," Ciao! Io mi chiamo Abhishek di cognome Shanmuganathan il mio nome può essere strano perché provengo dall' India. Vivo a Roma, frequento la prima media nella scuola del Viscontino. Sono nato nell' anno 2001 nel mese di Agosto. Ha casa abito con mia madre, mio padre e con mio fratello più piccolo di me. Sono un ragazzino basso e esile. Ho un viso ovale con dei occhi lucenti di color nero;  la mia maestra di scuola elementare diceva sempre che i miei occhi sembravano delle stelle, ho un naso piccolo e una bocca sottile. Ho dei capelli corti e lisci di color nero. Sono canc carnaggionescura. Sono un tipo molto allegro e attivo. Ho un carattere gentile e calmo. Porto vestiti di ogni tipo. Il mio hobby preferito è andare in bici soprattutto in posti naturali. Il piatto che mi piace tanto è il riso con canc curry. Di quello italiano è la pizza. Lo sport che faccio è piscina e lo sport che vorrei fare è Kung fu. Secondo me la mia vita sta trascorrendo bene e voglio che continui così.  ",1,0,0,0,1,0
3,"  Descrizione oggettiva  tutta il quadro  è occupata da bambini che giocano. In primo piano a destra c’è una piazza di cui si vede la metà. A sinistra si vede un giardinetto recintato con pali rossi. Un  po' più avanti c’è una casa e a destra di questa inizia una strada di cui non si vede la fine e mano a mano che si va avanti i bambini diminuiscono. In primo piano a sinistra c’è una casa rossa e andando avanti, sempre a sinistra, c’è un fiume. Nell’erba si intravedono tre bambine con la gonna. Il fiume arriva fino ad alcune casette e sullo sfondo, nel cielo si vede in lontananza una cupola. Tre alberi costeggiano il fiume. Descrizione soggettiva Questo quadro mi mette allegria.  All’inizio a guardarlo mi infondeva tristezza: il cielo scuro, i bambini sembrava che litigassero. Poi ho capito che giocavano. Sono buffi personaggi e fanno strane cose. È divertente guardarli e se li osservi per un po’ scopri che sono tutti giochi diversi e che nessuno dì loro è infelice o se ne sta da solo ad annoiarsi. Sì, qualcuno è da solo, ma si diverte. I giochi proibiti Tanti anni fa c’era una piazza dove tutti i bambini del villaggio giocavano. Sul giardinetto recintato dai pali rossi, si affacciava sempre un bambino. Lui, poveretto non poteva giocare.  Sua madre era troppo protettiva. Lui ogni volta sognava ad occhi aperti come sarebbe stato stare con i suoi amici in piazza: Meraviglioso Un giorno decise di mentire alla madre e disse che andava a comprare il latte. Purtroppo le finestra dava sulla piazza e lui giocava, ma con la paura che lo potessero scoprire. Al calar  del sole tornò a casa senza latte e sua madre si arrabbiò. Rimase sempre a casa e si pentì di non essersi divertito. ",0,0,0,0,0,1
4," Io sono un banco in una classica scuola media. Come praticamente tutti i miei simili ricevo in media una scritta vandalistica ogni ora e anche oltre. Io penso che esistano ben cinque tipi differenti di scrittura abusiva scolastica: il primo è un’incisione provocata da pezzi di ferro stili di provenienza ignota... inoltre spesso sono insensati: il più inciso su di me è: oao sono aoui giusto come esempio. Il secondo è il più diffuso scritte o disegni con penna anche questi non sempre sensati. Ad esempio uno dei miei è “Fun v/ Coldplayv” significato a me semi-ignoto bisogna solo sperare che col tempo se ne vadano. Il terzo, non troppo utilizzato è quello di scrivere con la matita, usato per lo più per disegnini. Io li preferisco, basta che qualcuno ci prema un po’ sopra perché scompaiano. L’importante è che non venga cancellato apposta con la gomma o si trasforma in una vera tortura. Vi è la tecnica “bianchetto sul tavolo"" utilizzato sia  per le macchiette insensate che per “assillanti motivi umanitari” tappare i buchi sul tavolo. Questa è l’ultima “arte” studentesca. Con  gli arnesi più disparati si inizia a praticare un buco sul tavolo. Io sono stato fortunato ne ho solo uno lievemente accennato mentre un mio vicino ne ha quattro di cui uno portato a compimento: lo trapassa da sopra a sotto. Ma le mie pene non sono finite: infatti come banco reggo molti effetti personali dello studente, questo per me è solo un problema lieve tanto mi hanno fabbricato robusto. La cosa peggiore per me sono le gomme da masticare appiccicate sotto di me da tempo immemore e nessuno ha il coraggio di toglierle. Ed io, sino alla morte dovrò tenermele addosso. Tanto divenuto inutile sarò buttato, o usato come legna da ardere come tutti gli altri banchi.",0,0,0,0,0,0
5,"  Uomo contro api sfida all’ultimo miele Un giorno un’ape operaia trova un fiore pieno zeppo di polline.  L’ape, attratta dal polline lo porta subito alla sua regina, che stupefatta dall’ape operaia la premia con una medaglia. Nei giorni seguenti un umano va a controllare ogni giorno l’alveare. Il sesto giorno di controllo l’umano dice allo sciame di api: «Buongiorno amiche, qua fuori ho una bellissima sorpresa per voi! Venite.» Le api, poci furbe, escono tutte a vedere la grande sorpresa ma, stupefatte, non trovarono niente. Arrabbiate tornarono all’alveare ma non trovarono ne l’uomo ne il miele fatto con tanta fatica. Le api escono a cercare il loro miele e trovarono una grande casa.  Entrando di soppiatto trovarono il loro nemico sdraiato su una poltrona con una birra e pop-corn nella mano destra. Le api, entrando nel suo magazzino, trovarono miele in quantità industriale. Molto contente lo portarono all’alveare senza farsi vedere. L’uomo, che stava per vendere tutto quel miele, sene trovava senza e la sua vita di affari era finita. Il vizio dell’uomo rappresentato in questa favola è che, già avendo tante cose ne volgiono di più. La morale invece è che chi la fa l’aspetti.",0,0,0,0,0,0
6," Cara Azzurra, quest’anno farai la 5ª elementare forse avrai paura ti darò dei consigli, farai dei dettati a noi piaceva soprattutto fare i disegni alla fine dei compiti. La nostra maestra era Divina.",0,0,0,0,0,0
7,"  Stai per iniziare la quinta elementare con la mia vecchia maestra Porzia. Non devi avere paura dei compiti di scrittura, perché lei te lo corregge e ti dice di migliorare negli argomenti che te la cavi meno. Anche io avevo paura dei compiti di scrittura che mi dava la mia vecchia maestra Porzia, però poi dopo qualche giorno mi è passata. Io all’inizio della quinta facevo una marea di errori però dopo qualche settimana ne facevo molto di meno. I compiti che mi piacevano di più erano i testi, però, ogni week and ci dava tre testi descrittivi…. Gli altri compiti non mi piacevano tanto, non mi piaceva per esempio l’analisi grammaticale. Porzia diceva sempre a me di migliorare e se facevamo un grosso errore ci dava 30 frasi e quando si arrabbia pure 100.. Io ti consiglio di fare tutti i compiti che ti dà e di ripassare gli argomenti che sbagli. Spero che questa lettera ti tolgi la paura. ",0,0,0,0,0,0
8," Ciao, ho 12 anni mi chiamo Francesca, ho gli occhi chiari, sono snella e di media statura. Come tutte le ragazze della mia età, piace fare sport, guardare la T.V e divertirmi molto. I rapporti con la mia famiglia vanno bene, quando dobbiamo ridere ridiamo, quando dobbiamo scherzare, scherziamo, ma quando è arrivato il momento di fare i genitori loro lo fanno e anche molto bene. Il mio carattere con i miei amici va bene, perché quando loro mi chiedono dei consigli, io glie li do. Se qualcuno di loro litiga o si picchia, io gli dico chi ha sbagliato, e che quel comportamento è molto sbagliato, perché le mani non si usano ma le cose si risolvono usando la bocca. Quando mi trovo in situazioni di forte litigio, io cerco la calma per affrontare meglio la situazione in modo corretto perché se no io passo dalla parte del torto e invece sono dalla parte giusta. Per i miei amici io sono una ragazza simpatica, buona e generosa e se litigo con uno di loro divento sempre più buona, perché secondo me un amico che non ti da consigli, non ti dice la verita, non ti sostiene mai non è un vero amico/a. il mio carattere è così molto deciso. La cosa che mi calma di più, quando sono agitata, è la musica ritmata, perché invece di arrabbiarmi mi fa ballare et così io mi calmo e non divento isterica. La cosa più bella di me è che quando sbaglio, io ammetto di aver sbagliato e non faccio storie. Questa sono io!",0,0,0,0,0,0
9," Ciao! io sono Martina ho undici anni e frequento la prima media. Ho i capelli biondi e ricci e ho gli occhi molto scuri, come mio padre, ma purtroppo sono miope. Sono magra e di media altezza. Sono una ragazza sensibile. Sono molto brava nel disegno e lo faccio sempre nella brutta copia dei temi perché  mi fa venire le idee. Tutti mi dicono che sono calorosa ma secondo me non è vero. Il mio sport preferito è il pattinaggio, a settembre andrò a pattinare nella scuola dei miei vicini di casa, sono Annalisa e suo fratello e sono molto simpatici. Sono brava a scrivere, ma quando devo fare alcuni temi il mio cervello si rifiuta e non mi vengono idee. Le mie cantanti preferite sono Rihanna, Katy Perry ed Emma Marrone. Io conosco molte informazioni su Rihanna. Odio le canzoni napoletane, quelle classiche e quelle di Justin Bieber. Le materie in cui vado meglio e che mi piacciono, di più sono Arte, Matematica, Italiano e Spagnolo, anche se mi piacciono tutte. Mi piace andare a scuola ma a volte non mi va di svegliarmi presto. Le mie migliori amiche sono quattro: Martina, Chiara, Elisa e Michela. Loro sono molto simpatiche e la cosa bella è che sono amiche. Sono creativa e a volte creo degli oggetti. A scuola sono brava. A scuola ho conosciuto molte brave persone, insegnanti e compagni di banco e di classe. Mi piace giocare a Just Dance2  e 4. Ma purtroppo la wii si è rotta. Le mie marche preferite sono: Boxeur, Adidas e Nike. Per Natale a mia madre vorrei regalare un paio di scarpe che le piacciono. Mi piace fare i picnic con gli amici.",0,0,0,0,0,0
